,index,Date,time,Pressure,Temp,Diff_Pr,Massflow,Density,Diff_Prx,Pressure_tmp
0,0,24/2/2021,11:21:9:364,360.92,29.64,513.63,0.5479999999999999,931.947,513.9445819749408,360.92
1,1,24/2/2021,11:21:9:520,360.92,29.56,518.43,0.5479999999999999,931.797,514.0628593073504,360.92
2,2,24/2/2021,11:21:9:567,360.92,29.6,513.63,0.5479999999999999,931.947,514.1803791028335,360.92
3,3,24/2/2021,11:21:9:676,360.92,29.58,513.63,0.5479999999999999,931.947,514.2969199981545,360.92
4,4,24/2/2021,11:21:9:786,361.42,29.6,513.33,0.5479999999999999,931.947,514.4122704830669,360.92
5,5,24/2/2021,11:21:9:895,360.92,29.5,513.03,0.5479999999999999,931.947,514.5262115747998,360.92
6,6,24/2/2021,11:21:10:4,361.92,29.64,518.13,0.5479999999999999,931.947,514.6385123861047,360.92
7,7,24/2/2021,11:21:10:114,361.42,29.69,511.73,0.5479999999999999,931.947,514.7489390779975,360.92
8,8,24/2/2021,11:21:10:270,361.42,29.62,502.93,0.5479999999999999,931.947,514.857247939545,360.92
9,9,24/2/2021,11:21:10:332,360.92,29.54,516.63,0.5479999999999999,931.797,514.9631448466065,360.92
10,10,24/2/2021,11:21:10:442,361.92,29.62,513.63,0.5479999999999999,931.797,515.0662626033467,360.92
11,11,24/2/2021,11:21:10:551,361.92,29.62,516.93,0.5479999999999999,931.947,515.1661904068743,360.92
12,12,24/2/2021,11:21:10:661,362.32,29.65,530.03,0.5479999999999999,931.947,515.262525203946,360.92
13,13,24/2/2021,11:21:10:770,361.92,29.56,514.23,0.5479999999999999,931.947,515.3549268038099,360.92
14,14,24/2/2021,11:21:10:879,361.42,29.6,514.23,0.5479999999999999,931.947,515.4431413470111,360.92
15,15,24/2/2021,11:21:11:4,361.42,29.58,513.63,0.5479999999999999,931.947,515.5269611430476,360.92
16,16,24/2/2021,11:21:11:98,360.92,29.6,513.03,0.5479999999999999,931.947,515.606171503017,360.92
17,17,24/2/2021,11:21:11:254,360.42,29.62,517.53,0.5479999999999999,931.947,515.6805325592481,360.92
18,18,24/2/2021,11:21:11:317,361.42,29.64,536.83,0.5479999999999999,931.797,515.7498085601934,360.92
19,19,24/2/2021,11:21:11:426,361.92,29.64,516.63,0.5479999999999999,931.947,515.8138457169999,360.92
20,20,24/2/2021,11:21:11:535,360.92,29.67,536.83,0.547,931.797,515.8726419356681,360.92
21,21,24/2/2021,11:21:11:645,362.32,29.6,513.63,0.5479999999999999,931.947,515.9263634719554,360.92
22,22,24/2/2021,11:21:11:754,361.42,29.67,528.53,0.547,931.947,515.9753262607202,360.92
23,23,24/2/2021,11:21:11:863,361.42,29.64,514.23,0.5479999999999999,931.947,516.0199625951606,360.92
24,24,24/2/2021,11:21:12:4,360.92,29.69,514.53,0.5479999999999999,931.947,516.0607812468742,360.92
25,25,24/2/2021,11:21:12:82,360.92,29.65,514.23,0.5479999999999999,931.797,516.0983194597067,360.92
26,26,24/2/2021,11:21:12:191,361.42,29.48,521.83,0.5479999999999999,931.947,516.1331090483284,360.92
27,27,24/2/2021,11:21:12:301,360.92,29.64,513.03,0.5479999999999999,931.947,516.1656823432617,360.92
28,28,24/2/2021,11:21:12:410,361.42,29.69,512.63,0.5479999999999999,931.947,516.1965805196976,360.92
29,29,24/2/2021,11:21:12:520,360.92,29.73,518.13,0.5479999999999999,931.797,516.2263347479227,360.92
30,30,24/2/2021,11:21:12:629,360.92,29.69,512.03,0.5479999999999999,931.947,516.2554519542199,360.92
31,31,24/2/2021,11:21:12:754,361.42,29.62,515.43,0.5479999999999999,931.947,516.2844159131663,360.92
32,32,24/2/2021,11:21:12:848,360.92,29.67,496.52,0.5479999999999999,931.947,516.3136669796323,360.92
33,33,24/2/2021,11:21:13:4,360.92,29.6,514.23,0.547,931.797,516.3435465930379,360.92
34,34,24/2/2021,11:21:13:66,361.42,29.64,533.43,0.547,931.947,516.3742812902606,360.92
35,35,24/2/2021,11:21:13:176,360.92,29.6,514.23,0.547,931.797,516.4060716012374,360.92
36,36,24/2/2021,11:21:13:285,360.92,29.65,513.63,0.547,931.947,516.4391790879702,360.92
37,37,24/2/2021,11:21:13:395,362.32,29.65,513.33,0.547,931.947,516.4739030323924,360.92
38,38,24/2/2021,11:21:13:504,361.42,29.62,512.63,0.547,931.947,516.5105183713268,360.92
39,39,24/2/2021,11:21:13:613,360.42,29.62,515.43,0.5479999999999999,931.947,516.5492523287122,360.92
40,40,24/2/2021,11:21:13:754,361.92,29.6,512.33,0.5479999999999999,931.797,516.5902858906953,360.92
41,41,24/2/2021,11:21:13:832,360.92,29.69,496.82,0.5479999999999999,931.947,516.6337393396892,360.92
42,42,24/2/2021,11:21:13:941,362.32,29.6,523.63,0.5479999999999999,931.947,516.6796293501551,360.92
43,43,24/2/2021,11:21:14:50,361.92,29.6,517.23,0.5479999999999999,931.947,516.7278665351612,360.92
44,44,24/2/2021,11:21:14:160,360.92,29.58,529.43,0.5479999999999999,931.797,516.778335023623,360.92
45,45,24/2/2021,11:21:14:269,362.32,29.64,514.23,0.5479999999999999,931.947,516.8309764975904,360.92
46,46,24/2/2021,11:21:14:379,360.92,29.64,514.53,0.5479999999999999,931.947,516.8858029725309,360.92
47,47,24/2/2021,11:21:14:503,361.42,29.6,513.93,0.5479999999999999,931.947,516.9428489627384,360.92
48,48,24/2/2021,11:21:14:597,361.42,29.67,513.03,0.5479999999999999,931.947,517.0021217592587,360.92
49,49,24/2/2021,11:21:14:753,360.92,29.65,517.53,0.5479999999999999,931.947,517.063584250847,360.92
50,50,24/2/2021,11:21:14:816,360.92,29.65,517.23,0.5479999999999999,931.947,517.1271639480523,360.92
51,51,24/2/2021,11:21:14:925,361.42,29.65,512.03,0.5479999999999999,931.947,517.1927680207167,360.92
52,52,24/2/2021,11:21:15:35,360.92,29.75,517.23,0.547,931.947,517.2602820138665,360.92
53,53,24/2/2021,11:21:15:144,361.42,29.64,537.43,0.547,931.947,517.3295816021753,360.92
54,54,24/2/2021,11:21:15:253,360.92,29.67,516.93,0.547,931.947,517.4006002035684,360.92
55,55,24/2/2021,11:21:15:363,361.42,29.58,513.93,0.547,931.947,517.4733784225748,360.92
56,56,24/2/2021,11:21:15:503,360.92,29.6,513.93,0.547,931.947,517.5480151484217,360.92
57,57,24/2/2021,11:21:15:581,360.92,29.62,513.33,0.547,931.947,517.6245879985022,360.92
58,58,24/2/2021,11:21:15:691,361.92,29.69,521.53,0.547,931.947,517.703126110535,360.92
59,59,24/2/2021,11:21:15:800,361.42,29.67,512.03,0.547,931.947,517.7836252360707,360.92
60,60,24/2/2021,11:21:15:910,360.92,29.65,516.63,0.547,931.947,517.8660595848603,360.92
61,61,24/2/2021,11:21:16:19,361.42,29.64,536.83,0.547,931.947,517.9503940289353,360.92
62,62,24/2/2021,11:21:16:128,360.92,29.67,512.03,0.5479999999999999,931.947,518.0366352914799,360.92
63,63,24/2/2021,11:21:16:259,360.92,29.67,515.13,0.5479999999999999,931.947,518.1248637933377,360.92
64,64,24/2/2021,11:21:16:359,361.42,29.62,533.13,0.5479999999999999,931.797,518.2152001191986,360.92
65,65,24/2/2021,11:21:16:515,361.42,29.65,513.93,0.5479999999999999,931.797,518.3077962269322,360.92
66,66,24/2/2021,11:21:16:577,360.92,29.65,513.63,0.5479999999999999,931.797,518.4028520810166,360.92
67,67,24/2/2021,11:21:16:687,360.92,29.64,513.93,0.5479999999999999,931.947,518.5005742156345,360.92
68,68,24/2/2021,11:21:16:843,361.92,29.64,500.12,0.547,931.947,518.6011028425695,360.92
69,69,24/2/2021,11:21:16:905,361.42,29.62,520.93,0.547,931.797,518.7044586010362,360.92
70,70,24/2/2021,11:21:17:15,360.92,29.71,516.93,0.547,931.947,518.8105383356583,360.92
71,71,24/2/2021,11:21:17:124,360.42,29.71,512.63,0.5479999999999999,931.947,518.9191618823127,360.92
72,72,24/2/2021,11:21:17:264,360.92,29.67,514.83,0.5479999999999999,931.797,519.0301000946572,360.92
73,73,24/2/2021,11:21:17:343,361.42,29.6,527.03,0.5479999999999999,931.797,519.143073160497,360.92
74,74,24/2/2021,11:21:17:452,361.42,29.67,516.03,0.5479999999999999,931.947,519.2577779387839,360.92
75,75,24/2/2021,11:21:17:561,361.42,29.64,533.13,0.5479999999999999,931.797,519.3739357478731,360.92
76,76,24/2/2021,11:21:17:671,360.42,29.64,530.03,0.5479999999999999,931.947,519.4913396388795,360.92
77,77,24/2/2021,11:21:17:780,361.92,29.69,527.63,0.5479999999999999,931.797,519.6099072054209,360.92
78,78,24/2/2021,11:21:17:890,361.42,29.69,513.93,0.5479999999999999,931.947,519.7296938703415,360.92
79,79,24/2/2021,11:21:18:14,361.42,29.64,513.63,0.5479999999999999,931.797,519.8508278307513,360.92
80,80,24/2/2021,11:21:18:108,360.92,29.56,521.53,0.547,931.947,519.9734221597437,360.92
81,81,24/2/2021,11:21:18:280,360.92,29.6,516.93,0.547,931.797,520.0975417031664,360.92
82,82,24/2/2021,11:21:18:327,360.92,29.69,513.03,0.547,931.797,520.2232111147168,360.92
83,83,24/2/2021,11:21:18:436,360.92,29.54,530.33,0.547,931.797,520.3504181857576,360.92
84,84,24/2/2021,11:21:18:545,361.92,29.67,513.93,0.547,931.797,520.4791303187684,360.92
85,85,24/2/2021,11:21:18:645,361.92,29.56,513.93,0.547,931.947,520.6093100991238,360.92
86,86,24/2/2021,11:21:18:755,360.92,29.64,516.03,0.547,931.947,520.7408830501465,360.92
87,87,24/2/2021,11:21:18:864,360.92,29.67,514.23,0.547,931.797,520.873694929055,360.92
88,88,24/2/2021,11:21:19:5,361.42,29.71,529.13,0.5479999999999999,931.797,521.0075134787983,360.92
89,89,24/2/2021,11:21:19:83,361.42,29.56,526.73,0.5479999999999999,931.797,521.1420798076482,360.92
90,90,24/2/2021,11:21:19:193,361.42,29.6,524.23,0.5479999999999999,931.947,521.2771767247788,360.92
91,91,24/2/2021,11:21:19:302,360.92,29.62,522.43,0.5479999999999999,931.797,521.4126574637087,360.92
92,92,24/2/2021,11:21:19:411,360.92,29.71,536.13,0.5479999999999999,931.947,521.5484404539338,360.92
93,93,24/2/2021,11:21:19:521,361.42,29.6,537.43,0.5479999999999999,931.797,521.6845392970279,360.92
94,94,24/2/2021,11:21:19:636,360.42,29.58,497.72,0.5479999999999999,931.947,521.821097701928,360.92
95,95,24/2/2021,11:21:19:761,360.92,29.62,514.23,0.5479999999999999,931.947,521.9583078377034,360.92
96,96,24/2/2021,11:21:19:859,361.42,29.64,518.13,0.547,931.797,522.0962624607033,360.92
97,97,24/2/2021,11:21:20:15,360.92,29.62,512.33,0.547,931.947,522.2349052913819,360.92
98,98,24/2/2021,11:21:20:77,361.42,29.6,513.63,0.547,931.947,522.3740560064497,360.92
99,99,24/2/2021,11:21:20:187,360.42,29.69,529.13,0.547,931.797,522.5134256430932,360.92
100,100,24/2/2021,11:21:20:296,360.92,29.6,526.73,0.547,931.947,522.6526613450878,360.92
101,101,24/2/2021,11:21:20:405,360.92,29.62,524.63,0.547,931.947,522.7914229031484,360.92
102,102,24/2/2021,11:21:20:515,360.42,29.64,516.93,0.547,931.947,522.92941257691,360.92
103,103,24/2/2021,11:21:20:624,360.92,29.56,524.93,0.547,931.947,523.066344158241,360.92
