Unnamed: 0,index,Date,time,Pressure,Temp,Diff_Pr,Massflow,Density,Diff_Prx,Pressure_tmp
0,0,27/1/2021,11:27:55:496,278.31,31.28,438.22,0.5529999999999999,941.897,440.41534451088575,278.31
1,1,27/1/2021,11:27:55:543,278.31,31.26,407.32,0.5529999999999999,942.047,438.9714842439505,278.31
2,2,27/1/2021,11:27:55:652,278.31,31.39,409.82,0.5529999999999999,941.897,437.53572519876144,278.31
3,3,27/1/2021,11:27:55:840,278.31,31.41,415.62,0.5529999999999999,941.897,436.1121708221495,278.31
4,4,27/1/2021,11:27:55:871,278.31,31.41,415.62,0.5529999999999999,941.897,434.7045381676916,278.31
5,5,27/1/2021,11:27:55:980,278.31,31.37,415.92,0.5529999999999999,941.897,433.3161939329464,278.31
6,6,27/1/2021,11:27:56:90,278.31,31.24,415.92,0.5529999999999999,941.897,431.95020263818395,278.31
7,7,27/1/2021,11:27:56:215,278.31,31.3,437.62,0.5529999999999999,941.897,430.6093768473567,278.31
8,8,27/1/2021,11:27:56:309,278.31,31.32,409.22,0.5529999999999999,941.897,429.2963565959954,278.31
9,9,27/1/2021,11:27:56:471,277.81,31.55,400.62,0.5529999999999999,941.897,428.0136383910885,278.31
10,10,27/1/2021,11:27:56:518,278.31,31.41,419.92,0.552,941.897,426.76349941324236,278.31
11,11,27/1/2021,11:27:56:627,278.31,31.39,405.22,0.552,941.897,425.54793851176146,278.31
12,12,27/1/2021,11:27:56:737,279.31,31.35,407.32,0.5529999999999999,941.897,424.3686920897998,278.31
13,13,27/1/2021,11:27:56:851,278.31,31.33,409.82,0.5529999999999999,941.897,423.22724457507036,278.31
14,14,27/1/2021,11:27:56:979,278.31,31.26,415.32,0.5529999999999999,941.897,422.1248356922918,278.31
15,15,27/1/2021,11:27:57:73,277.81,31.32,396.42,0.5529999999999999,942.047,421.0624897763078,278.31
16,16,27/1/2021,11:27:57:229,277.81,31.32,399.72,0.5529999999999999,942.047,420.0410064381072,278.31
17,17,27/1/2021,11:27:57:292,277.81,31.41,416.22,0.5529999999999999,941.897,419.0609193954412,278.31
18,18,27/1/2021,11:27:57:401,278.31,31.37,415.92,0.5539999999999999,941.897,418.1225274306379,278.31
19,19,27/1/2021,11:27:57:511,278.31,31.35,410.72,0.5539999999999999,942.047,417.22599444338687,278.31
20,20,27/1/2021,11:27:57:620,278.81,31.37,416.82,0.5539999999999999,941.897,416.3714155936654,278.31
21,21,27/1/2021,11:27:57:729,278.31,31.37,405.22,0.5539999999999999,942.047,415.55882826860494,278.31
22,22,27/1/2021,11:27:57:839,278.81,31.35,407.32,0.5539999999999999,941.897,414.7881973279879,278.31
23,23,27/1/2021,11:27:57:979,278.31,31.33,397.92,0.5539999999999999,941.897,414.0593776515628,278.31
24,24,27/1/2021,11:27:58:57,278.31,31.35,397.62,0.5539999999999999,941.897,413.3720621821527,278.31
25,25,27/1/2021,11:27:58:167,278.31,31.32,397.32,0.5529999999999999,942.047,412.7257337066999,278.31
26,26,27/1/2021,11:27:58:276,278.31,31.41,415.92,0.5529999999999999,942.047,412.1196561766024,278.31
27,27,27/1/2021,11:27:58:385,278.31,31.39,415.62,0.5529999999999999,942.047,411.55294498054917,278.31
28,28,27/1/2021,11:27:58:495,278.81,31.3,420.52,0.5529999999999999,941.897,411.0246874072919,278.31
29,29,27/1/2021,11:27:58:604,278.81,31.35,397.02,0.5529999999999999,942.047,410.53401821235116,278.31
30,30,27/1/2021,11:27:58:729,277.81,31.37,400.02,0.5529999999999999,942.047,410.0800847572547,278.31
31,31,27/1/2021,11:27:58:823,278.31,31.33,404.62,0.5529999999999999,942.047,409.66195216186173,278.31
