,Unnamed: 0,Date,time,Pressure,Temp,Diff_Pr,Massflow,Density,Pressure_tmp
1977,1977,19/3/2021,10:30:39:911,286.21,30.49,412.52,0.556,937.747,253.41
1978,1978,19/3/2021,10:30:40:21,285.71,30.51,414.12,0.555,937.597,253.41
1979,1979,19/3/2021,10:30:40:130,287.61,30.44,428.12,0.555,937.747,253.41
1980,1980,19/3/2021,10:30:40:239,286.21,30.48,427.82,0.5529999999999999,937.747,253.41
1981,1981,19/3/2021,10:30:40:349,288.61,30.4,451.62,0.552,937.597,253.41
1982,1982,19/3/2021,10:30:40:489,285.71,30.49,421.72,0.552,937.897,253.41
1983,1983,19/3/2021,10:30:40:567,286.21,30.42,445.52,0.552,937.747,253.41
1984,1984,19/3/2021,10:30:40:677,286.61,30.44,427.52,0.551,937.897,253.41
1985,1985,19/3/2021,10:30:40:786,287.11,30.42,409.22,0.551,937.897,253.41
1986,1986,19/3/2021,10:30:40:895,286.61,30.44,409.82,0.551,937.897,253.41
1987,1987,19/3/2021,10:30:41:5,286.21,30.46,408.62,0.551,937.897,253.41
1988,1988,19/3/2021,10:30:41:114,285.71,30.46,408.32,0.551,937.897,253.41
1989,1989,19/3/2021,10:30:41:254,287.11,30.44,430.82,0.551,937.897,253.41
1990,1990,19/3/2021,10:30:41:333,286.61,30.42,427.22,0.551,937.897,253.41
1991,1991,19/3/2021,10:30:41:489,286.61,30.46,423.52,0.551,937.897,253.41
1992,1992,19/3/2021,10:30:41:551,286.21,30.46,429.92,0.552,937.897,253.41
1993,1993,19/3/2021,10:30:41:661,287.11,30.4,412.52,0.552,938.047,253.41
1994,1994,19/3/2021,10:30:41:770,286.61,30.4,431.82,0.552,937.897,253.41
1995,1995,19/3/2021,10:30:41:880,287.61,30.4,413.82,0.552,938.047,253.41
1996,1996,19/3/2021,10:30:41:989,287.61,30.4,414.42,0.552,937.897,253.41
1997,1997,19/3/2021,10:30:42:98,286.61,30.46,418.02,0.5529999999999999,938.047,253.41
1998,1998,19/3/2021,10:30:42:254,286.21,30.48,414.12,0.5539999999999999,937.897,253.41
1999,1999,19/3/2021,10:30:42:317,286.21,30.46,423.82,0.555,938.047,253.41
2000,2000,19/3/2021,10:30:42:426,287.11,30.34,426.62,0.556,937.897,253.41
2001,2001,19/3/2021,10:30:42:535,286.21,30.42,429.62,0.556,937.897,252.91
2002,2002,19/3/2021,10:30:42:645,287.61,30.48,433.32,0.5539999999999999,937.747,252.91
2003,2003,19/3/2021,10:30:42:754,285.71,30.38,448.22,0.5529999999999999,937.747,253.41
2004,2004,19/3/2021,10:30:42:864,286.61,30.46,430.82,0.552,937.597,252.91
2005,2005,19/3/2021,10:30:43:7,286.61,30.46,413.12,0.551,937.747,252.91
2006,2006,19/3/2021,10:30:43:85,285.71,30.34,416.52,0.551,937.747,252.51
2007,2007,19/3/2021,10:30:43:241,286.21,30.42,429.32,0.551,937.897,252.91
2008,2008,19/3/2021,10:30:43:304,286.61,30.42,422.32,0.551,937.897,253.41
2009,2009,19/3/2021,10:30:43:413,285.21,30.42,425.72,0.551,937.897,253.41
