,Unnamed: 0,Date,time,Pressure,Temp,Diff_Pr,Massflow,Density,Pressure_tmp
1421,1421,10/3/2021,10:36:39:858,347.22,30.79,476.02,0.547,929.846,306.22
1422,1422,10/3/2021,10:36:39:967,346.72,30.73,475.12,0.547,929.846,306.22
1423,1423,10/3/2021,10:36:40:124,347.22,30.81,493.72,0.547,929.846,306.22
1424,1424,10/3/2021,10:36:40:186,348.22,30.79,493.12,0.547,929.846,306.22
1425,1425,10/3/2021,10:36:40:296,346.72,30.77,492.22,0.547,929.846,306.22
1426,1426,10/3/2021,10:36:40:405,346.72,30.67,487.92,0.547,929.846,306.22
1427,1427,10/3/2021,10:36:40:514,347.22,30.79,488.82,0.547,929.846,306.22
1428,1428,10/3/2021,10:36:40:622,346.22,30.85,480.32,0.547,929.846,306.22
1429,1429,10/3/2021,10:36:40:722,348.22,30.81,496.22,0.547,929.846,306.22
1430,1430,10/3/2021,10:36:40:847,346.72,30.83,493.12,0.547,929.846,306.22
1431,1431,10/3/2021,10:36:40:941,346.72,30.83,495.92,0.547,929.846,306.22
1432,1432,10/3/2021,10:36:41:97,346.72,30.81,477.52,0.547,929.996,306.22
1433,1433,10/3/2021,10:36:41:159,346.72,30.75,476.02,0.547,929.996,306.22
1434,1434,10/3/2021,10:36:41:269,346.72,30.71,478.52,0.547,929.846,306.22
1435,1435,10/3/2021,10:36:41:378,346.72,30.67,481.82,0.547,929.846,306.22
1436,1436,10/3/2021,10:36:41:487,347.72,30.77,485.22,0.547,929.846,306.22
1437,1437,10/3/2021,10:36:41:597,346.72,30.51,493.12,0.547,929.846,306.22
1438,1438,10/3/2021,10:36:41:706,346.22,30.77,473.62,0.547,929.846,306.22
1439,1439,10/3/2021,10:36:41:863,346.72,30.77,477.22,0.547,929.846,306.22
1440,1440,10/3/2021,10:36:41:925,346.72,30.75,498.62,0.546,929.846,306.22
1441,1441,10/3/2021,10:36:42:35,346.72,30.73,473.92,0.547,929.996,306.22
1442,1442,10/3/2021,10:36:42:144,347.22,30.75,492.22,0.547,929.846,306.22
1443,1443,10/3/2021,10:36:42:253,347.72,30.79,476.62,0.547,929.846,306.22
1444,1444,10/3/2021,10:36:42:362,346.72,30.73,487.02,0.547,929.846,306.22
1445,1445,10/3/2021,10:36:42:472,346.72,30.79,491.02,0.547,929.846,306.22
1446,1446,10/3/2021,10:36:42:612,347.22,30.77,475.12,0.547,929.846,306.22
1447,1447,10/3/2021,10:36:42:691,347.22,30.81,476.92,0.547,929.846,306.22
1448,1448,10/3/2021,10:36:42:847,348.22,30.79,491.32,0.547,929.846,306.22
1449,1449,10/3/2021,10:36:42:909,347.72,30.73,497.72,0.547,929.846,306.22
1450,1450,10/3/2021,10:36:43:19,347.72,30.81,476.92,0.547,929.846,306.22
1451,1451,10/3/2021,10:36:43:128,347.22,30.73,502.33,0.547,929.846,306.22
1452,1452,10/3/2021,10:36:43:237,347.22,30.79,477.92,0.547,929.846,306.22
1453,1453,10/3/2021,10:36:43:347,347.22,30.83,514.23,0.546,929.846,306.22
1454,1454,10/3/2021,10:36:43:456,349.62,30.81,476.92,0.547,929.846,306.22
1455,1455,10/3/2021,10:36:43:597,347.22,30.85,478.82,0.547,929.846,306.22
1456,1456,10/3/2021,10:36:43:675,347.22,30.81,478.22,0.546,929.846,306.22
1457,1457,10/3/2021,10:36:43:784,347.72,30.83,478.22,0.546,929.846,306.22
1458,1458,10/3/2021,10:36:43:894,347.72,30.81,482.12,0.546,929.846,306.22
1459,1459,10/3/2021,10:36:44:3,346.72,30.79,486.12,0.546,929.846,306.22
1460,1460,10/3/2021,10:36:44:113,348.22,30.81,477.92,0.547,929.846,306.22
1461,1461,10/3/2021,10:36:44:222,347.72,30.77,515.43,0.546,929.846,306.22
1462,1462,10/3/2021,10:36:44:347,346.72,30.75,497.12,0.546,929.846,306.22
1463,1463,10/3/2021,10:36:44:441,347.22,30.69,484.92,0.546,929.846,306.22
1464,1464,10/3/2021,10:36:44:597,347.72,30.75,477.52,0.546,929.846,306.22
1465,1465,10/3/2021,10:36:44:659,347.22,30.85,480.02,0.547,929.846,306.22
1466,1466,10/3/2021,10:36:44:769,347.22,30.79,484.02,0.546,929.846,306.22
1467,1467,10/3/2021,10:36:44:878,347.72,30.77,475.72,0.546,929.846,306.22
1468,1468,10/3/2021,10:36:44:988,348.22,30.87,491.32,0.546,929.846,306.22
1469,1469,10/3/2021,10:36:45:97,346.72,30.83,494.92,0.547,929.996,306.22
1470,1470,10/3/2021,10:36:45:206,347.22,30.79,496.82,0.547,929.846,306.22
1471,1471,10/3/2021,10:36:45:363,346.72,30.83,497.42,0.547,929.846,306.22
1472,1472,10/3/2021,10:36:45:425,348.22,30.79,510.53,0.547,929.846,306.22
