Unnamed: 0,index,Date,time,Pressure,Temp,Diff_Pr,Massflow,Density,Diff_Prx,Pressure_tmp
1204,1204,26/1/2021,11:8:33:194,276.41,31.45,442.42,0.5539999999999999,941.747,424.48926192425796,276.91
1205,1205,26/1/2021,11:8:33:350,277.41,31.57,415.32,0.5539999999999999,941.747,424.443974098932,276.91
1206,1206,26/1/2021,11:8:33:412,276.91,31.47,424.42,0.5539999999999999,941.747,424.3966280316443,276.91
1207,1207,26/1/2021,11:8:33:522,277.41,31.51,419.32,0.5539999999999999,941.747,424.3471160423093,276.91
1208,1208,26/1/2021,11:8:33:631,276.41,31.51,424.72,0.5539999999999999,941.747,424.2952932806252,276.91
1209,1209,26/1/2021,11:8:33:740,276.91,31.47,420.52,0.5539999999999999,941.747,424.24097469593244,276.91
1210,1210,26/1/2021,11:8:33:849,276.41,31.41,441.82,0.5539999999999999,941.747,424.18396081694993,276.91
1211,1211,26/1/2021,11:8:33:959,276.41,31.57,430.52,0.5539999999999999,941.747,424.1241021953418,276.91
1212,1212,26/1/2021,11:8:34:99,277.41,31.37,427.22,0.555,941.747,424.0613665244635,276.91
1213,1213,26/1/2021,11:8:34:178,276.91,31.47,423.82,0.555,941.747,423.9958362574976,276.91
1214,1214,26/1/2021,11:8:34:287,277.41,31.45,440.32,0.555,941.747,423.9276697906449,276.91
1215,1215,26/1/2021,11:8:34:396,275.91,31.47,421.72,0.5539999999999999,941.747,423.8571049229843,276.91
1216,1216,26/1/2021,11:8:34:506,275.41,31.37,421.72,0.5539999999999999,941.747,423.7844674287918,276.91
1217,1217,26/1/2021,11:8:34:615,275.91,31.43,439.72,0.5539999999999999,941.747,423.7101419196708,276.91
1218,1218,26/1/2021,11:8:34:725,276.91,31.47,402.52,0.5539999999999999,941.747,423.6345504440139,276.91
1219,1219,26/1/2021,11:8:34:880,276.41,31.43,420.52,0.5539999999999999,941.747,423.5581132631912,276.91
1220,1220,26/1/2021,11:8:34:943,276.41,31.49,407.02,0.5539999999999999,941.747,423.4811596108759,276.91
1221,1221,26/1/2021,11:8:35:115,276.91,31.49,405.82,0.5539999999999999,941.747,423.4038528042623,276.91
1222,1222,26/1/2021,11:8:35:162,277.41,31.45,439.42,0.5539999999999999,941.747,423.3261744722373,276.91
1223,1223,26/1/2021,11:8:35:271,276.41,31.45,421.42,0.5539999999999999,941.747,423.2479971592719,276.91
1224,1224,26/1/2021,11:8:35:380,276.41,31.51,421.42,0.5529999999999999,941.747,423.16919409766996,276.91
1225,1225,26/1/2021,11:8:35:490,276.91,31.41,421.42,0.5539999999999999,941.747,423.08966500798937,276.91
1226,1226,26/1/2021,11:8:35:599,276.41,31.39,421.42,0.5539999999999999,941.747,423.0092998753,276.91
1227,1227,26/1/2021,11:8:35:709,276.91,31.49,421.42,0.5539999999999999,941.747,422.92796263445837,276.91
1228,1228,26/1/2021,11:8:35:849,276.91,31.51,425.12,0.5539999999999999,941.747,422.84549603422437,276.91
1229,1229,26/1/2021,11:8:35:927,276.41,31.55,423.82,0.555,941.747,422.76173607536964,276.91
1230,1230,26/1/2021,11:8:36:37,276.91,31.49,437.02,0.5539999999999999,941.597,422.67654275519095,276.91
1231,1231,26/1/2021,11:8:36:146,276.41,31.43,403.12,0.555,941.747,422.58982663791846,276.91
1232,1232,26/1/2021,11:8:36:255,275.91,31.43,440.02,0.5539999999999999,941.747,422.50152970210434,276.91
