,Date,time,Pressure,Temp,Diff_Pr,Massflow,Density,Diff_Prx,Pressure_tmp
53,25/3/2021,11:30:40:339,979.25,31.59,1312.67,0.5589999999999999,952.848,1290.320368146747,979.75
54,25/3/2021,11:30:40:448,978.25,32.02,1290.36,0.5589999999999999,952.848,1290.1717901851864,979.75
55,25/3/2021,11:30:40:557,983.15,31.61,1293.16,0.56,952.848,1290.0179691573953,979.75
56,25/3/2021,11:30:40:667,979.25,31.65,1293.46,0.56,952.848,1289.859605980496,979.75
57,25/3/2021,11:30:40:776,979.25,31.67,1274.26,0.56,952.848,1289.6974414827307,979.75
58,25/3/2021,11:30:40:916,979.75,31.71,1310.87,0.56,952.848,1289.532210588132,979.75
59,25/3/2021,11:30:40:995,980.75,31.65,1279.06,0.56,952.698,1289.36464818705,979.75
60,25/3/2021,11:30:41:104,979.25,31.57,1293.76,0.56,952.698,1289.195521574926,979.75
61,25/3/2021,11:30:41:213,978.75,31.63,1279.66,0.56,952.848,1289.0256146072231,979.75
62,25/3/2021,11:30:41:331,978.75,31.61,1275.16,0.56,952.848,1288.8556685623234,979.75
63,25/3/2021,11:30:41:440,980.75,31.73,1312.07,0.5589999999999999,952.848,1288.6863470403755,979.75
64,25/3/2021,11:30:41:550,978.75,31.49,1272.06,0.56,952.848,1288.5182765815553,979.75
65,25/3/2021,11:30:41:674,980.75,31.61,1274.26,0.56,952.848,1288.3520800473605,979.75
66,25/3/2021,11:30:41:768,979.75,31.69,1293.76,0.56,952.848,1288.1883123085609,979.75
67,25/3/2021,11:30:41:940,980.25,31.71,1293.16,0.5589999999999999,952.848,1288.0274311056426,979.75
68,25/3/2021,11:30:41:987,980.25,31.69,1273.56,0.5589999999999999,952.848,1287.8698618200315,979.75
69,25/3/2021,11:30:42:97,979.75,31.65,1274.56,0.5589999999999999,952.848,1287.7159992011839,979.75
70,25/3/2021,11:30:42:206,979.75,31.65,1287.96,0.5589999999999999,952.848,1287.5661287690334,979.75
71,25/3/2021,11:30:42:315,980.25,31.65,1291.66,0.5589999999999999,952.848,1287.4204138995822,979.75
72,25/3/2021,11:30:42:425,980.75,31.69,1294.06,0.56,952.848,1287.2789781430822,979.75
73,25/3/2021,11:30:42:534,979.25,31.59,1294.36,0.56,952.848,1287.141992061929,979.75
74,25/3/2021,11:30:42:690,979.75,31.65,1275.76,0.56,952.848,1287.0097000159676,979.75
75,25/3/2021,11:30:42:753,980.75,31.71,1278.16,0.56,952.848,1286.8823667996685,979.75
76,25/3/2021,11:30:42:862,981.15,31.61,1277.86,0.56,952.848,1286.7601834352934,979.75
77,25/3/2021,11:30:42:971,979.75,31.67,1276.66,0.56,952.848,1286.6432085879055,979.75
78,25/3/2021,11:30:43:81,979.25,31.73,1274.86,0.56,952.848,1286.5313535002094,979.75
79,25/3/2021,11:30:43:190,980.25,31.71,1276.66,0.56,952.848,1286.4243726994998,979.75
80,25/3/2021,11:30:43:300,979.75,31.63,1279.06,0.56,952.848,1286.3218596003317,979.75
81,25/3/2021,11:30:43:424,978.75,31.75,1298.36,0.56,952.848,1286.2232787064074,979.75
82,25/3/2021,11:30:43:518,980.75,31.63,1312.07,0.56,952.848,1286.1280751981094,979.75
83,25/3/2021,11:30:43:675,980.25,31.69,1287.66,0.56,952.848,1286.035830223319,979.75
84,25/3/2021,11:30:43:737,980.75,31.65,1291.26,0.56,952.848,1285.9463285362194,979.75
85,25/3/2021,11:30:43:846,983.15,31.63,1288.26,0.56,952.848,1285.859500518829,979.75
86,25/3/2021,11:30:43:956,980.25,31.67,1274.26,0.5589999999999999,952.848,1285.7753374236106,979.75
87,25/3/2021,11:30:44:65,979.25,31.65,1275.16,0.56,952.848,1285.6938116653284,979.75
88,25/3/2021,11:30:44:190,979.75,31.61,1276.36,0.5589999999999999,952.848,1285.6147926920428,979.75
89,25/3/2021,11:30:44:284,978.75,31.61,1279.36,0.5589999999999999,952.848,1285.538003586332,979.75
90,25/3/2021,11:30:44:424,979.25,31.71,1295.86,0.5589999999999999,952.848,1285.4630469775593,979.75
91,25/3/2021,11:30:44:503,979.25,31.61,1285.16,0.56,952.848,1285.389483297803,979.75
92,25/3/2021,11:30:44:612,980.25,31.57,1280.96,0.56,952.848,1285.3168955493738,979.75
93,25/3/2021,11:30:44:721,978.75,31.63,1316.07,0.5589999999999999,952.698,1285.2449129969705,979.75
94,25/3/2021,11:30:44:831,980.75,31.45,1290.06,0.56,952.848,1285.1732736835927,979.75
95,25/3/2021,11:30:44:940,980.25,31.67,1315.77,0.56,952.848,1285.1019278042913,979.75
96,25/3/2021,11:30:45:49,982.65,31.57,1290.96,0.56,952.848,1285.0310956010155,979.75
97,25/3/2021,11:30:45:174,979.25,31.57,1276.66,0.56,952.848,1284.9612409590457,979.75
98,25/3/2021,11:30:45:268,979.75,31.67,1275.76,0.56,952.848,1284.8929455834955,979.75
