,Unnamed: 0,Date,time,Pressure,Temp,Diff_Pr,Massflow,Density,Pressure_tmp
833,833,15/3/2021,13:51:50:608,246.11,31.65,371.02,0.547,935.297,230.01
834,834,15/3/2021,13:51:50:717,245.61,31.71,356.42,0.547,935.447,230.01
835,835,15/3/2021,13:51:50:827,247.11,31.69,359.12,0.5479999999999999,935.297,230.01
836,836,15/3/2021,13:51:50:936,246.11,31.71,358.52,0.5479999999999999,935.447,230.01
837,837,15/3/2021,13:51:51:45,246.61,31.69,388.12,0.5479999999999999,935.297,230.01
838,838,15/3/2021,13:51:51:186,246.11,31.73,369.82,0.5479999999999999,935.447,230.01
839,839,15/3/2021,13:51:51:264,245.61,31.67,388.72,0.5479999999999999,935.297,230.01
840,840,15/3/2021,13:51:51:373,246.11,31.67,370.12,0.5479999999999999,935.297,230.01
841,841,15/3/2021,13:51:51:482,246.11,31.73,370.72,0.547,935.447,230.01
842,842,15/3/2021,13:51:51:592,245.61,31.65,356.12,0.547,935.447,230.01
843,843,15/3/2021,13:51:51:701,246.61,31.69,358.82,0.547,935.447,230.01
844,844,15/3/2021,13:51:51:811,246.11,31.77,371.32,0.547,935.447,230.01
845,845,15/3/2021,13:51:51:935,246.11,31.65,349.42,0.547,935.447,230.01
846,846,15/3/2021,13:51:52:29,246.11,31.77,367.72,0.547,935.447,230.01
847,847,15/3/2021,13:51:52:185,246.11,31.84,370.42,0.546,935.447,230.01
848,848,15/3/2021,13:51:52:248,247.61,31.69,386.92,0.546,935.447,230.01
849,849,15/3/2021,13:51:52:358,246.61,31.61,362.52,0.546,935.447,230.01
850,850,15/3/2021,13:51:52:467,246.11,31.71,386.32,0.546,935.297,230.01
851,851,15/3/2021,13:51:52:577,245.61,31.63,358.52,0.546,935.447,230.01
852,852,15/3/2021,13:51:52:686,246.11,31.69,361.32,0.546,935.447,230.01
853,853,15/3/2021,13:51:52:795,246.11,31.69,364.32,0.546,935.447,230.01
854,854,15/3/2021,13:51:52:951,245.61,31.67,353.02,0.546,935.447,230.01
855,855,15/3/2021,13:51:53:14,245.61,31.59,369.82,0.546,935.447,230.01
856,856,15/3/2021,13:51:53:123,245.61,31.59,370.42,0.546,935.447,230.01
857,857,15/3/2021,13:51:53:233,245.61,31.65,366.42,0.546,935.447,230.01
858,858,15/3/2021,13:51:53:342,246.11,31.69,383.82,0.546,935.447,230.01
859,859,15/3/2021,13:51:53:451,246.61,31.61,367.72,0.546,935.447,230.01
860,860,15/3/2021,13:51:53:561,246.11,31.63,376.22,0.546,935.447,230.01
