,Date,time,Pressure,Temp,Diff_Pr,Massflow,Density,Diff_Prx,Pressure_tmp
51,25/3/2021,10:52:45:656,943.15,31.24,1229.96,0.5429999999999999,951.348,1239.04777544989,944.05
52,25/3/2021,10:52:45:765,944.05,31.24,1266.86,0.542,951.048,1239.1051854384798,944.05
53,25/3/2021,10:52:45:874,944.05,31.18,1241.86,0.5429999999999999,951.198,1239.16379637452,944.05
54,25/3/2021,10:52:45:984,943.15,31.24,1268.76,0.5429999999999999,951.048,1239.2229800615892,944.05
55,25/3/2021,10:52:46:93,944.05,31.26,1243.66,0.5429999999999999,951.198,1239.28234301182,944.05
56,25/3/2021,10:52:46:203,945.05,31.18,1242.46,0.5429999999999999,951.198,1239.34172230662,944.05
57,25/3/2021,10:52:46:358,944.55,31.26,1263.26,0.5429999999999999,951.048,1239.4011339521335,944.05
58,25/3/2021,10:52:46:421,943.55,31.2,1230.56,0.544,951.348,1239.4607424961814,944.05
59,25/3/2021,10:52:46:531,945.05,31.22,1233.36,0.5429999999999999,951.348,1239.520827814958,944.05
60,25/3/2021,10:52:46:640,944.05,31.12,1236.66,0.5429999999999999,951.198,1239.5816869359126,944.05
61,25/3/2021,10:52:46:749,944.55,31.3,1243.36,0.5429999999999999,951.198,1239.6435616029064,944.05
62,25/3/2021,10:52:46:858,945.05,31.18,1242.16,0.5429999999999999,951.198,1239.7066606359758,944.05
63,25/3/2021,10:52:46:968,947.45,31.24,1244.26,0.5429999999999999,951.198,1239.7712111465378,944.05
64,25/3/2021,10:52:47:108,944.05,31.18,1227.26,0.5429999999999999,951.348,1239.8374714987335,944.05
65,25/3/2021,10:52:47:187,946.55,31.28,1244.96,0.5429999999999999,951.198,1239.9056953816853,944.05
66,25/3/2021,10:52:47:343,945.55,31.2,1233.66,0.5429999999999999,951.198,1239.9760963427964,944.05
67,25/3/2021,10:52:47:405,944.05,31.24,1236.36,0.5429999999999999,951.198,1240.0488445755625,944.05
68,25/3/2021,10:52:47:515,945.55,31.22,1241.26,0.5429999999999999,951.198,1240.124067477705,944.05
69,25/3/2021,10:52:47:624,944.55,31.26,1225.66,0.5429999999999999,951.198,1240.2018413946469,944.05
70,25/3/2021,10:52:47:733,944.05,31.12,1247.66,0.5429999999999999,951.198,1240.2821792282014,944.05
71,25/3/2021,10:52:47:842,944.05,31.18,1227.26,0.5429999999999999,951.348,1240.3650256138542,944.05
72,25/3/2021,10:52:47:952,943.55,31.14,1241.56,0.5429999999999999,951.198,1240.450262690132,944.05
73,25/3/2021,10:52:48:108,944.55,31.24,1230.86,0.5429999999999999,951.198,1240.5377053928185,944.05
74,25/3/2021,10:52:48:171,944.55,31.24,1240.36,0.5429999999999999,951.198,1240.627093201043,944.05
75,25/3/2021,10:52:48:280,947.45,31.18,1257.76,0.5429999999999999,951.048,1240.7181160851287,944.05
76,25/3/2021,10:52:48:389,944.55,31.2,1242.46,0.5429999999999999,951.198,1240.8104938749084,944.05
77,25/3/2021,10:52:48:499,945.55,31.22,1246.76,0.542,951.198,1240.9040477993078,944.05
78,25/3/2021,10:52:48:608,946.05,31.26,1248.86,0.542,951.198,1240.998705483556,944.05
79,25/3/2021,10:52:48:717,945.55,31.22,1249.46,0.542,951.198,1241.0944907113956,944.05
80,25/3/2021,10:52:48:873,944.05,31.12,1246.16,0.542,951.198,1241.1915352127435,944.05
81,25/3/2021,10:52:48:936,944.05,31.24,1233.36,0.542,951.198,1241.2900677067248,944.05
82,25/3/2021,10:52:49:92,944.05,31.24,1223.86,0.542,951.198,1241.3903382570704,944.05
83,25/3/2021,10:52:49:155,944.05,31.41,1225.66,0.542,951.198,1241.492494225628,944.05
84,25/3/2021,10:52:49:264,943.55,31.22,1263.86,0.542,951.198,1241.5965142342425,944.05
85,25/3/2021,10:52:49:373,944.05,31.28,1230.56,0.542,951.198,1241.7022841128276,944.05
86,25/3/2021,10:52:49:483,943.55,31.26,1266.26,0.542,951.198,1241.8097214901854,944.05
87,25/3/2021,10:52:49:592,945.55,31.24,1226.26,0.542,951.198,1241.9188303254891,944.05
88,25/3/2021,10:52:49:702,944.05,31.32,1245.86,0.542,951.198,1242.0296785536818,944.05
