Unnamed: 0,index,Date,time,Pressure,Temp,Diff_Pr,Massflow,Density,Diff_Prx,Pressure_tmp
5209,5209,26/1/2021,11:1:32:351,276.91,31.45,427.82,0.5529999999999999,942.047,422.10016192557924,276.41
5210,5210,26/1/2021,11:1:32:430,276.41,31.57,423.82,0.5539999999999999,942.047,422.1098124094786,276.41
5211,5211,26/1/2021,11:1:32:539,276.41,31.43,437.32,0.5539999999999999,941.8969999999999,422.1221221246244,276.41
5212,5212,26/1/2021,11:1:32:649,276.41,31.53,422.02,0.5539999999999999,942.047,422.1370091199525,276.41
5213,5213,26/1/2021,11:1:32:758,276.91,31.45,440.02,0.5529999999999999,941.8969999999999,422.1544028895424,276.91
5214,5214,26/1/2021,11:1:32:867,276.91,31.39,404.32,0.5539999999999999,942.047,422.1742438305577,276.41
5215,5215,26/1/2021,11:1:32:977,275.91,31.51,422.32,0.5529999999999999,942.047,422.19647712339935,276.91
5216,5216,26/1/2021,11:1:33:102,276.41,31.45,424.12,0.5529999999999999,942.047,422.22104479424723,276.91
5217,5217,26/1/2021,11:1:33:196,276.41,31.49,424.12,0.5529999999999999,942.047,422.24788477454194,276.41
5218,5218,26/1/2021,11:1:33:367,276.41,31.53,408.62,0.5529999999999999,942.047,422.2769338492871,276.91
5219,5219,26/1/2021,11:1:33:414,276.91,31.53,408.62,0.5529999999999999,942.047,422.3081241398674,275.91
5220,5220,26/1/2021,11:1:33:524,276.91,31.45,409.52,0.5529999999999999,942.047,422.3413745291502,275.91
5221,5221,26/1/2021,11:1:33:633,276.41,31.43,441.82,0.5529999999999999,941.8969999999999,422.3765881486177,276.41
5222,5222,26/1/2021,11:1:33:743,276.41,31.51,415.02,0.5529999999999999,942.047,422.4136610481671,276.91
5223,5223,26/1/2021,11:1:33:852,276.41,31.43,441.22,0.5529999999999999,941.8969999999999,422.4524931397835,276.41
5224,5224,26/1/2021,11:1:33:961,276.41,31.41,418.62,0.5529999999999999,942.047,422.4929930070074,276.41
5225,5225,26/1/2021,11:1:34:102,275.91,31.43,423.52,0.5529999999999999,942.047,422.53507754398834,276.91
5226,5226,26/1/2021,11:1:34:180,275.91,31.43,424.12,0.5529999999999999,941.8969999999999,422.5786683609851,276.91
5227,5227,26/1/2021,11:1:34:289,276.91,31.53,423.52,0.5529999999999999,941.8969999999999,422.6236886031549,277.41
5228,5228,26/1/2021,11:1:34:399,276.91,31.47,417.72,0.5529999999999999,941.8969999999999,422.6700621667144,276.91
5229,5229,26/1/2021,11:1:34:508,276.91,31.51,403.12,0.5529999999999999,942.047,422.7177104093672,275.91
5230,5230,26/1/2021,11:1:34:617,275.91,31.49,423.52,0.5539999999999999,942.047,422.7665450324743,276.91
5231,5231,26/1/2021,11:1:34:727,276.41,31.45,423.82,0.5529999999999999,942.047,422.81646522210167,276.41
5232,5232,26/1/2021,11:1:34:852,276.41,31.33,426.32,0.5529999999999999,942.047,422.8673634232441,276.91
5233,5233,26/1/2021,11:1:34:946,276.41,31.43,423.52,0.5539999999999999,942.047,422.9191324445028,276.41
5234,5234,26/1/2021,11:1:35:102,276.41,31.43,425.72,0.5539999999999999,942.047,422.97166798872354,277.81
5235,5235,26/1/2021,11:1:35:164,277.41,31.51,421.12,0.5539999999999999,942.047,423.02486835753024,276.41
5236,5236,26/1/2021,11:1:35:273,277.41,31.47,427.82,0.5529999999999999,941.8969999999999,423.0786336917746,277.41
5237,5237,26/1/2021,11:1:35:383,276.91,31.37,424.12,0.5529999999999999,942.047,423.1328660329049,276.41
5238,5238,26/1/2021,11:1:35:492,276.91,31.45,424.42,0.5529999999999999,942.047,423.18747013927697,275.91
5239,5239,26/1/2021,11:1:35:617,275.91,31.47,405.22,0.5539999999999999,942.047,423.2423517037089,276.91
5240,5240,26/1/2021,11:1:35:711,275.91,31.49,424.12,0.5539999999999999,942.047,423.2974112057557,276.41
5241,5241,26/1/2021,11:1:35:851,275.91,31.41,435.12,0.5539999999999999,942.047,423.3525408906725,276.41
5242,5242,26/1/2021,11:1:35:930,276.41,31.45,423.82,0.5529999999999999,942.047,423.4076312616877,276.91
5243,5243,26/1/2021,11:1:36:39,276.91,31.51,410.72,0.5539999999999999,942.047,423.46257705256096,276.91
5244,5244,26/1/2021,11:1:36:149,275.91,31.43,423.82,0.5529999999999999,942.047,423.5172729686212,276.41
5245,5245,26/1/2021,11:1:36:258,276.41,31.43,416.82,0.5529999999999999,941.8969999999999,423.5716072362146,275.91
5246,5246,26/1/2021,11:1:36:367,276.91,31.43,408.92,0.5529999999999999,942.047,423.6254595361477,276.41
5247,5247,26/1/2021,11:1:36:477,276.91,31.39,423.82,0.5529999999999999,941.8969999999999,423.67869908884455,276.41
5248,5248,26/1/2021,11:1:36:602,276.91,31.41,425.12,0.5529999999999999,941.8969999999999,423.73118444077835,276.41
5249,5249,26/1/2021,11:1:36:696,276.91,31.49,426.02,0.5529999999999999,942.047,423.7827687596965,276.41
5250,5250,26/1/2021,11:1:36:852,277.41,31.47,442.12,0.5529999999999999,942.047,423.833307237768,276.41
5251,5251,26/1/2021,11:1:36:914,277.41,31.49,423.82,0.5529999999999999,941.8969999999999,423.88266377808714,276.41
5252,5252,26/1/2021,11:1:37:24,276.91,31.45,424.42,0.5539999999999999,942.047,423.9307136486936,276.41
5253,5253,26/1/2021,11:1:37:133,275.91,31.51,432.42,0.5539999999999999,942.047,423.9773401864812,276.41
5254,5254,26/1/2021,11:1:37:242,277.41,31.37,404.92,0.5539999999999999,942.047,424.02243009541,276.91
5255,5255,26/1/2021,11:1:37:351,278.81,31.43,420.82,0.5539999999999999,942.047,424.0658675186959,275.91
5256,5256,26/1/2021,11:1:37:461,276.91,31.45,403.42,0.5539999999999999,942.047,424.10752582704765,275.91
5257,5257,26/1/2021,11:1:37:601,276.91,31.45,432.12,0.5529999999999999,941.8969999999999,424.1472630655679,275.91
5258,5258,26/1/2021,11:1:37:680,276.41,31.39,438.52,0.5529999999999999,941.8969999999999,424.18492688858663,276.91
5259,5259,26/1/2021,11:1:37:789,276.41,31.37,442.12,0.5529999999999999,941.8969999999999,424.22036845358116,276.41
5260,5260,26/1/2021,11:1:37:898,276.41,31.41,423.52,0.5529999999999999,941.8969999999999,424.2534547971885,276.91
5261,5261,26/1/2021,11:1:38:8,276.41,31.43,423.22,0.5529999999999999,942.047,424.2840688951024,276.41
5262,5262,26/1/2021,11:1:38:117,275.91,31.37,439.12,0.5529999999999999,941.8969999999999,424.3121024226458,276.41
5263,5263,26/1/2021,11:1:38:226,275.91,31.41,424.42,0.5529999999999999,941.8969999999999,424.33745346953367,276.91
5264,5264,26/1/2021,11:1:38:351,276.41,31.43,423.52,0.5539999999999999,942.047,424.3600279997168,277.41
5265,5265,26/1/2021,11:1:38:445,277.41,31.49,414.42,0.5539999999999999,941.8969999999999,424.3797362608957,276.41
5266,5266,26/1/2021,11:1:38:617,275.91,31.41,443.12,0.5539999999999999,941.8969999999999,424.3964874598972,276.41
5267,5267,26/1/2021,11:1:38:668,276.41,31.55,411.92,0.5539999999999999,942.047,424.41019074382865,276.91
5268,5268,26/1/2021,11:1:38:768,276.41,31.45,441.52,0.5529999999999999,941.8969999999999,424.42075892545995,277.41
5269,5269,26/1/2021,11:1:38:877,276.41,31.45,439.72,0.5529999999999999,942.047,424.4281117786274,276.91
5270,5270,26/1/2021,11:1:38:986,276.91,31.45,440.32,0.5529999999999999,941.8969999999999,424.4321830984529,277.41
5271,5271,26/1/2021,11:1:39:95,276.41,31.53,437.62,0.5529999999999999,942.047,424.4329278797834,276.91
5272,5272,26/1/2021,11:1:39:205,277.41,31.41,434.22,0.5529999999999999,942.047,424.43032342586747,276.91
5273,5273,26/1/2021,11:1:39:345,276.41,31.49,439.42,0.5529999999999999,941.8969999999999,424.4243670798616,276.91
5274,5274,26/1/2021,11:1:39:424,276.41,31.43,424.42,0.5529999999999999,942.047,424.4150738858035,276.41
